Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Fix versions,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Atlas project key),Custom field (Atlas project status),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Fix Version),Custom field (Found in version),Custom field (Found in version:),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Custom field (Severity),Custom field (Severity),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time),Custom field (Total forms),Custom field ([CHART] Date of First Response),Comment,Status Category,Status Category Changed
System Fails to allow the user to check the Savings account,SENG637A1-23,10022,Bug,Resolved,SENG637A1,SENG 637 Bug Tracking - (A1),software,Braden Tink,712020:eee6899a-a509-4f17-b31e-e2510927dc88,,Medium,,Braden Tink,712020:eee6899a-a509-4f17-b31e-e2510927dc88,Braden Tink,712020:eee6899a-a509-4f17-b31e-e2510927dc88,Braden Tink,712020:eee6899a-a509-4f17-b31e-e2510927dc88,04/Feb/24 7:51 PM,04/Feb/24 7:58 PM,05/Feb/24 10:01 AM,,ATM System - Lab 1 Version 1.1,,0,,,,,Braden Tink,712020:eee6899a-a509-4f17-b31e-e2510927dc88,,,,,,,,,,,,,,,,,,,,,,ATM System - Lab 1 Version 1.0,,Significant / Large,,,,0|i0003j:,,,Medium,,,,,,,,,,,"04/Feb/24 7:57 PM;712020:eee6899a-a509-4f17-b31e-e2510927dc88;The system after selecting balance inquiry fails to allows the user to check the savings account. The system only shows the other two account's.



Initial state:
System allows the user to check balance inquiry. On selection the system shows two accounts missing the savings account. 

Steps to Reproduce:

# Ensure the ATM is loaded and activated.
# Insert a card by clicking the “Click to insert card” button.
# Input the card number ‘1’ and press Enter on your keyboard.
# Enter an incorrect PIN ‘xxx’
# Select “Balance Inquiry”

Expected behavior:

System should show three accounts for the user to inquire about.

Actual behavior:

The system shows two accounts for the user to select missing the savings account. 

Test Case: 33 of the listed tests",In Progress,04/Feb/24 7:58 PM
Typo on ATM display of withdrawal amounts.,SENG637A1-22,10021,Bug,Needs Review,SENG637A1,SENG 637 Bug Tracking - (A1),software,Braden Tink,712020:eee6899a-a509-4f17-b31e-e2510927dc88,,Low,Done,Carissa Chung,712020:d23d960b-0bc3-4284-97dd-6fc979ae00ab,Carissa Chung,712020:d23d960b-0bc3-4284-97dd-6fc979ae00ab,Carissa Chung,712020:d23d960b-0bc3-4284-97dd-6fc979ae00ab,04/Feb/24 3:14 PM,04/Feb/24 3:33 PM,05/Feb/24 10:01 AM,04/Feb/24 3:14 PM,,,0,typo,withdraw,"TYPO Correction

After the withdrawal option is selected, there is a typo on the displayed withdrawal amounts. The display does not have a dollar sign in front of the amount for option 3, ‘3) 60’.",,Carissa Chung,712020:d23d960b-0bc3-4284-97dd-6fc979ae00ab,,,,,,,,,04/Feb/24 3:33 PM;ug:568813b1-d3c9-4454-a3aa-698ac1907d7b;typo.png;https://ucalgary-team-seng637-group7.atlassian.net/rest/api/3/attachment/content/10000,,,,,,,,,,,,,ATM System - Lab 1 Version 1.1,,Extensive / Widespread,,,,0|i0003b:,,,Low,,,,,,,,,,,,Done,04/Feb/24 3:14 PM
"After one withdrawal transaction, system does not take keyboard input.",SENG637A1-21,10020,Bug,Needs Review,SENG637A1,SENG 637 Bug Tracking - (A1),software,Braden Tink,712020:eee6899a-a509-4f17-b31e-e2510927dc88,,Medium,Done,Carissa Chung,712020:d23d960b-0bc3-4284-97dd-6fc979ae00ab,Carissa Chung,712020:d23d960b-0bc3-4284-97dd-6fc979ae00ab,Carissa Chung,712020:d23d960b-0bc3-4284-97dd-6fc979ae00ab,04/Feb/24 3:04 PM,04/Feb/24 3:11 PM,05/Feb/24 10:01 AM,04/Feb/24 3:04 PM,ATM System - Lab 1 Version 1.1,,0,withdraw,,"After one withdrawal transaction and the user is prompted whether they would like to make another, the keyboard input does not work. The user must click on the simulated keypad.

Initial state:
The ATM displays two options to the user, 1) Yes (to make another transaction) or 2) No (to not make another transaction).

Steps to Reproduce:

# Ensure the ATM is loaded and activated.
# Insert a card by clicking the “Click to insert card” button.
# Input the card number ‘1’ and press Enter on your keyboard.
# Enter the PIN ‘42’ using the simulated keypad.
# Select the withdraw option by clicking ‘1’ on the simulated keypad.
# Choose to withdrawal from checking account by clicking ‘1’ again on the simulated keypad.
# Select an amount that the system currently has and which is not greater than the account balance.
# Attempt to press ‘1' or '2’ on the keyboard when prompted about making another transaction.
# Click '2’ on the simulated keypad to conclude the session.
# Power off the ATM by clicking the ‘Off’ button.

Expected behavior:
The system recognizes the keyboard input of ‘1' or '2’ and either allows another transaction to be made or conclude the session, respectively.

Actual behavior:
The system does not recognize the keyboard input. The user must click on the ‘1' or '2’ button on the simulated keypad to either make another transaction or end the session, respectively.",,Carissa Chung,712020:d23d960b-0bc3-4284-97dd-6fc979ae00ab,,,,,,,,,,,,,,,,,,,,,,ATM System - Lab 1 Version 1.0,,Extensive / Widespread,,,,0|i00033:,,,Low,,,,,,,,,,,,Done,04/Feb/24 3:04 PM
Wrong dollar amount withdrawn from the ATM; displays incorrectly on receipt and log,SENG637A1-20,10019,Bug,Needs Review,SENG637A1,SENG 637 Bug Tracking - (A1),software,Braden Tink,712020:eee6899a-a509-4f17-b31e-e2510927dc88,,Highest,Done,Carissa Chung,712020:d23d960b-0bc3-4284-97dd-6fc979ae00ab,Carissa Chung,712020:d23d960b-0bc3-4284-97dd-6fc979ae00ab,Carissa Chung,712020:d23d960b-0bc3-4284-97dd-6fc979ae00ab,04/Feb/24 2:53 PM,04/Feb/24 3:20 PM,05/Feb/24 10:01 AM,04/Feb/24 2:53 PM,ATM System - Lab 1 Version 1.1,,0,withdraw,,Example: Withdrawal of $20 from checking account results in $40 withdrawn from the ATM. Both the receipt and log record $40 instead of $20.,,Carissa Chung,712020:d23d960b-0bc3-4284-97dd-6fc979ae00ab,,,,,,,,,,,,,,,,,,,,,,ATM System - Lab 1 Version 1.0,,Extensive / Widespread,,,,0|i0002v:,,,Critical,,,,,,,,,,,,Done,04/Feb/24 2:53 PM
The reentering of the pin does not get the user into the menu screen.,SENG637A1-19,10018,Bug,Needs Review,SENG637A1,SENG 637 Bug Tracking - (A1),software,Braden Tink,712020:eee6899a-a509-4f17-b31e-e2510927dc88,,Medium,Done,Braden Tink,712020:eee6899a-a509-4f17-b31e-e2510927dc88,Braden Tink,712020:eee6899a-a509-4f17-b31e-e2510927dc88,Braden Tink,712020:eee6899a-a509-4f17-b31e-e2510927dc88,02/Feb/24 11:13 AM,04/Feb/24 8:25 PM,05/Feb/24 10:01 AM,02/Feb/24 11:13 AM,,,0,,,"The system after entering an incorrect pin asks the user to reenter the pin for that card. On entering the correct pin, the system asks the user to once again enter the pin. Then final the second time the system grants access. 

Initial state:
The system is asking the user for the correct pin after entering it in wrong the first time.

Steps to Reproduce:

# Ensure the ATM is loaded and activated.
# Insert a card by clicking the “Click to insert card” button.
# Input the card number ‘1’ and press Enter on your keyboard.
# Enter an incorrect PIN ‘xxx’
# Reenter the correct pin “42”
# Reenter the correct pin “42

Expected behavior:
After giving the correct pin the system should allow access. 

Actual behavior:
The system asks the user twice for the correct pin before allowing access to the system. 

Test Case: 37, 39, and 40 of the listed tests",,Braden Tink,712020:eee6899a-a509-4f17-b31e-e2510927dc88,,,,,,,,,,,,,,,,,,,,,,ATM System - Lab 1 Version 1.0,,Moderate / Limited,,,,0|i0002n:,,,Low,,,,,,,,,,,,Done,02/Feb/24 11:13 AM
Inquiry from Checking Account,SENG637A1-18,10017,Bug,Resolved,SENG637A1,SENG 637 Bug Tracking - (A1),software,Braden Tink,712020:eee6899a-a509-4f17-b31e-e2510927dc88,,Low,,Braden Tink,712020:eee6899a-a509-4f17-b31e-e2510927dc88,Braden Tink,712020:eee6899a-a509-4f17-b31e-e2510927dc88,Braden Tink,712020:eee6899a-a509-4f17-b31e-e2510927dc88,02/Feb/24 10:46 AM,03/Feb/24 5:52 PM,05/Feb/24 10:01 AM,,ATM System - Lab 1 Version 1.1,,0,,,"The system after selecting Money Account proceeds to show the saving account balance in the receipt. 

Initial state:
The system asks the user for the account to inquire from, user selects “Checking”

Steps to Reproduce:

# Ensure the ATM is loaded and activated.
# Insert a card by clicking the “Click to insert card” button.
# Input the card number ‘1’ and press Enter on your keyboard.
# Enter an incorrect PIN ‘42’ using the simulated keypad.
# Select the Balance require section “4”
# Select Checking “1”

Expected behavior:
Account should the balance on the receipt of the Checking account. Log file should show inquiry transaction. 

Actual behavior:
No visual error seen on the screen. Saving account is shown with the saving account balance. Log file shows inquiry transaction. 

Test Case: 34 of the listed tests",,Braden Tink,712020:eee6899a-a509-4f17-b31e-e2510927dc88,,,,,,,,,,,,,,,,,,,,,,ATM System - Lab 1 Version 1.0,,,,,,0|i0002f:,,,Low,,,,,,,,,,,,In Progress,03/Feb/24 5:52 PM
Balance Inquiry on Money Market Account ,SENG637A1-17,10016,Bug,Needs Review,SENG637A1,SENG 637 Bug Tracking - (A1),software,Braden Tink,712020:eee6899a-a509-4f17-b31e-e2510927dc88,,Low,Done,Braden Tink,712020:eee6899a-a509-4f17-b31e-e2510927dc88,Braden Tink,712020:eee6899a-a509-4f17-b31e-e2510927dc88,Braden Tink,712020:eee6899a-a509-4f17-b31e-e2510927dc88,02/Feb/24 10:11 AM,04/Feb/24 10:07 AM,02/Feb/24 10:23 AM,02/Feb/24 10:11 AM,,,0,,,"The system after selecting Money Market proceeds to show an unknown error display. Following 500.00$ shows at the bottom of screen before showing the balance of the checking account.

Initial state:
The system asks the user for the account to inquire from, user selects “Money Market”

Steps to Reproduce:

# Ensure the ATM is loaded and activated.
# Insert a card by clicking the “Click to insert card” button.
# Input the card number ‘1’ and press Enter on your keyboard.
# Enter an incorrect PIN ‘42’ using the simulated keypad.
# Select the Balance require section “4”
# Select Money Market “2”

Expected behavior:
Then the receipt should show the money market account balance. Log file should show an inquiry transaction. 

Actual behavior:
Error seen on the screen. No visual indication that $500.00 is seen. Checking account shows account balance in the receipt. Log file shows success and that money was dispensed. 

Test Case: 34 of the listed tests",,Braden Tink,712020:eee6899a-a509-4f17-b31e-e2510927dc88,,,,,,,,,,,,,,,,,,,,,,ATM System - Lab 1 Version 1.0,,Moderate / Limited,,,,0|i00027:,,,High,,,,,,,,,,,,Done,02/Feb/24 10:11 AM
The system does not show the correct account names after money is transferred between accounts,SENG637A1-16,10015,Bug,Needs Review,SENG637A1,SENG 637 Bug Tracking - (A1),software,Braden Tink,712020:eee6899a-a509-4f17-b31e-e2510927dc88,,Medium,Done,Braden Tink,712020:eee6899a-a509-4f17-b31e-e2510927dc88,alton wong,712020:58110136-619d-443b-aa44-6bdc81ad7973,alton wong,712020:58110136-619d-443b-aa44-6bdc81ad7973,31/Jan/24 2:23 PM,31/Jan/24 2:24 PM,02/Feb/24 10:23 AM,31/Jan/24 2:23 PM,,,0,,,"After money is transferred from checking to saving, the ATM displays “TRANSFER FROM: SVGS TO: CHKG”.

Initial state:
After a successful transfer of funds.

Steps to reproduce:

# Ensure the ATM is turned on and loaded.
# Select “Click to insert card” button.
# Input card number “1” and press Enter or Return on your keyboard.
# Enter the PIN “42” using the ATM keyboard.
# Select transaction type: “3) Transfer”.
# Select the account to transfer from: “1) Checking”.
# Select the account to transfer to: “2) Savings”.
# Enter the amount to transfer: “5.00”.
# Press enter on the keypad.

Expected behavior:
The ATM machine should display “TRANSFER FROM: CHKG TO: SVGS”.

Actual behavior:
The ATM machine displays “TRANSFER FROM: SVGS TO: CHKG”.",,alton wong,712020:58110136-619d-443b-aa44-6bdc81ad7973,,,,,,,,,,,,,,,,,,,,,,ATM System - Lab 1 Version 1.1,,Extensive / Widespread,,,,0|i0001z:,,,Low,,,,,,,,,,,,Done,31/Jan/24 2:23 PM
System does not transfer the accurate funds between accounts,SENG637A1-15,10014,Bug,Needs Review,SENG637A1,SENG 637 Bug Tracking - (A1),software,Braden Tink,712020:eee6899a-a509-4f17-b31e-e2510927dc88,,Highest,Done,alton wong,712020:58110136-619d-443b-aa44-6bdc81ad7973,alton wong,712020:58110136-619d-443b-aa44-6bdc81ad7973,alton wong,712020:58110136-619d-443b-aa44-6bdc81ad7973,31/Jan/24 12:03 AM,31/Jan/24 12:03 AM,02/Feb/24 10:23 AM,31/Jan/24 12:03 AM,,,0,,,"The ATM machine does not accurately display the amount transferred between accounts. 

Initial state:
The system is displaying a request for the user to enter a valid dollar amount.

Steps to Reproduce:

# Ensure the ATM is turned on and loaded.
# Select “Click to insert card” button.
# Input card number “1” and press Enter or Return on your keyboard.
# Enter the PIN “42” using the ATM keyboard.
# Select transaction type: “3) Transfer”.
# Select the account to transfer from: “1) Checking”.
# Select the account to transfer to: “2) Savings”.
# Enter the amount to transfer: “5.00”.
# Press enter on the keypad.

Expected behavior:
The print display should show an amount of $5.00 being transferred from chequing to savings.

Actual behavior:
The print display shows an amount of $4.50 being transferred.",,alton wong,712020:58110136-619d-443b-aa44-6bdc81ad7973,,,,,,,,,,,,,,,,,,,,,,ATM System - Lab 1 Version 1.0,,Extensive / Widespread,,,,0|i0001r:,,,High,,,,,,,,,,,,Done,31/Jan/24 12:03 AM
Logging into card number 1 shows 3 accounts instead of 2,SENG637A1-14,10013,Bug,Needs Review,SENG637A1,SENG 637 Bug Tracking - (A1),software,Braden Tink,712020:eee6899a-a509-4f17-b31e-e2510927dc88,,High,Done,Braden Tink,712020:eee6899a-a509-4f17-b31e-e2510927dc88,alton wong,712020:58110136-619d-443b-aa44-6bdc81ad7973,alton wong,712020:58110136-619d-443b-aa44-6bdc81ad7973,30/Jan/24 11:12 PM,30/Jan/24 11:12 PM,05/Feb/24 10:01 AM,30/Jan/24 11:12 PM,,,0,,,"After logging into card #1, the available accounts are: checking, saving, and money market.

Initial state: 

The system is logged into card #1.

Steps to reproduce: 

# Ensure the ATM is turned on and loaded.
# Select “Click to insert card” button.
# Input card number “1” and press Enter or Return on your keyboard.
# Enter the PIN “42” using the ATM keyboard.
# Selecting “Withdrawal”, “Deposit”, or “Transfer” will display 3 available accounts (checking, saving, and money market)

Expected behavior:

Only the accounts checking, and saving should be displayed.

Actual behavior:

Three accounts are displayed (checking, saving, and money market).",,alton wong,712020:58110136-619d-443b-aa44-6bdc81ad7973,,,,,,,,,,,,,,,,,,,,,,ATM System - Lab 1 Version 1.0,,Extensive / Widespread,,,,0|i0001j:,,,Medium,,,,,,,,,,,,Done,30/Jan/24 11:12 PM
